Group,Efficiency
Control,224.178
Control,362.794
Control,204.387
Control,428.8015
Control,173.4665
Control,227.054
Control,273.442
Control,278.2295
Control,369.0125
Control,362.7875
Control,232.112
Control,193.786
Control,376.372
Control,211.85
Control,296.376
Control,307.4905
Control,285.7525
Control,188.0425
Control,317.2685
Control,200.823
Control,181.0335
Experimental,235.422
Experimental,141.2895
Experimental,247.614
Experimental,213.9855
Experimental,254.345
Experimental,225.2705
Experimental,193.909
Experimental,179.475
Experimental,227.09
Experimental,204.7975
Experimental,185.316
Experimental,209.682
Experimental,193.5735
Experimental,173.962
Experimental,214.763
Experimental,206.4545
Experimental,168.1955
