Group,Efficiency
Control,351.983
Control,333.192
Control,274.02
Control,438.639
Control,142.367
Control,196.311
Control,274.113
Control,451.419
Control,316.969
Control,384.561
Control,342.491
Control,198.294
Control,662.757
Control,116.016
Control,348.166
Control,184.686
Control,483.982
Control,280.942
Control,392.805
Control,281.754
Control,222.183
Experimental,201.049
Experimental,466.83
Experimental,160.328
Experimental,189.036
Experimental,157.016
Experimental,164.868
Experimental,240.097
Experimental,91.314
Experimental,114.99
Experimental,153.596
Experimental,172.698
Experimental,127.818
Experimental,108.633
Experimental,73.296
Experimental,131.233
Experimental,178.53
Experimental,183.738
Experimental,119.66
