Group,MentalEffort
Control,55
Control,17
Control,73
Control,88
Control,61
Control,124
Control,87
Control,98
Control,92
Control,48
Control,88
Control,73
Control,70
Control,120
Control,85
Control,104
Control,97
Control,61
Control,55
Control,66
Control,32
Experimental,79
Experimental,57
Experimental,21
Experimental,83
Experimental,41
Experimental,24
Experimental,9
Experimental,69
Experimental,39
Experimental,38
Experimental,58
Experimental,16
Experimental,47
Experimental,34
Experimental,150
Experimental,17
Experimental,56
Experimental,44
Experimental,46
Experimental,43
Experimental,34
