Group,Efficiency
Control,543.831
Control,881.628
Control,784.453
Control,853.981
Control,478.996
Control,507.307
Control,679.725
Control,616.04
Control,753.424
Control,514.174
Control,832.792
Control,655.445
Control,775.15
Control,504.419
Control,522.142
Control,705.586
Control,620.602
Control,516.913
Control,747.976
Control,749.283
Control,660.496
Experimental,424.327
Experimental,486.123
Experimental,340.779
Experimental,545.567
Experimental,495.404
Experimental,649.248
Experimental,445.559
Experimental,328.36
Experimental,409.086
Experimental,591.402
Experimental,481.548
Experimental,474.442
Experimental,393.636
Experimental,516.961
Experimental,496.928
Experimental,356.489
Experimental,719.295
Experimental,337.728
