Group,MentalEffort
Control,11
Control,80
Control,23
Control,29
Control,34
Control,75
Control,17
Control,27
Control,45
Control,8
Control,31
Control,81
Control,39
Control,27
Control,34
Control,43
Control,44
Control,28
Control,29
Control,75
Control,22
Experimental,29
Experimental,61
Experimental,22
Experimental,28
Experimental,13
Experimental,19
Experimental,8
Experimental,61
Experimental,13
Experimental,19
Experimental,31
Experimental,6
Experimental,29
Experimental,23
Experimental,87
Experimental,7
Experimental,19
Experimental,27
Experimental,5
Experimental,29
Experimental,13
