Group,Correctness
Control,1
Control,0.5
Control,0.833333
Control,0.666667
Control,0.5
Control,1
Control,0.666667
Control,0.666667
Control,0.5
Control,0.833333
Control,1
Control,1
Control,1
Control,0.833333
Control,0.833333
Control,1
Control,0.833333
Control,0.5
Control,0.833333
Control,0.666667
Control,0.833333
Experimental,0.833333
Experimental,1
Experimental,0.833333
Experimental,1
Experimental,1
Experimental,1
Experimental,1
Experimental,0.833333
Experimental,1
Experimental,1
Experimental,1
Experimental,1
Experimental,1
Experimental,1
Experimental,1
Experimental,1
Experimental,0.833333
Experimental,1
