Layout,Efficiency
Stripes,182.593
Stripes,111.144
Stripes,159.882
Stripes,116.716
Stripes,114.226
Stripes,255.726
Stripes,170.984
Stripes,161.151
Stripes,93.559
Stripes,185.604
Stripes,82.297
Stripes,139.391
Stripes,136.531
Stripes,108.527
Stripes,132.798
Stripes,120.788
Stripes,105.505
Stripes,44.815
Stripes,40.867
Stripes,58.709
Stripes,47.431
Segments,156.408
Segments,80.692
Segments,113.22
Segments,65.397
Segments,50.442
Segments,399.804
Segments,181.335
Segments,173.924
Segments,103.682
Segments,225.368
Segments,137.187
Segments,206.475
Segments,196.614
Segments,361.235
Segments,231.206
Segments,161.82
Segments,140.439
Segments,107.843
Segments,95.577
Segments,100.059
Segments,126.855
Shape,189.664
Shape,191.514
Shape,116.549
Shape,144.356
Shape,221.892
Shape,115.366
Shape,95.732
Shape,88.93
Shape,54.835
Shape,139.391
Shape,60.904
Shape,63.378
Shape,102.067
Shape,158.308
Shape,90.479
Shape,88.258
Shape,128.27
Shape,105.161
Shape,164.341
Shape,142.146
Shape,88.191
Separate Arrows,222.06
Separate Arrows,84.041
Separate Arrows,90.375
Separate Arrows,91.164
Separate Arrows,108.985
Separate Arrows,104.901
Separate Arrows,73.755
Separate Arrows,62.173
Separate Arrows,62.328
Separate Arrows,62.986
Separate Arrows,155.298
Separate Arrows,166.953
Separate Arrows,158.629
Separate Arrows,219.246
Separate Arrows,293.423
Separate Arrows,205.788
Separate Arrows,183.617
Separate Arrows,134.673
Separate Arrows,139.107
Separate Arrows,156.171
Separate Arrows,123.302
