Layout,Preference
Uncoloured links,0
Uncoloured links,0
Uncoloured links,2
Uncoloured links,10
Uncoloured links,0
Uncoloured links,0
Uncoloured links,0
Uncoloured links,0
Uncoloured links,0
Uncoloured links,0
Uncoloured links,0
Uncoloured links,0
Uncoloured links,0
Uncoloured links,0
Uncoloured links,75
Uncoloured links,50
Uncoloured links,0
Uncoloured links,30
Uncoloured links,0
Uncoloured links,23
Uncoloured links,0
Segments filters,25
Segments filters,15
Segments filters,80
Segments filters,40
Segments filters,5
Segments filters,40
Segments filters,40
Segments filters,10
Segments filters,20
Segments filters,20
Segments filters,30
Segments filters,10
Segments filters,20
Segments filters,0
Segments filters,10
Segments filters,10
Segments filters,50
Segments filters,40
Segments filters,50
Segments filters,34
Segments filters,60
Stripes filters,30
Stripes filters,25
Stripes filters,5
Stripes filters,10
Stripes filters,0
Stripes filters,5
Stripes filters,20
Stripes filters,30
Stripes filters,10
Stripes filters,10
Stripes filters,5
Stripes filters,20
Stripes filters,5
Stripes filters,20
Stripes filters,0
Stripes filters,15
Stripes filters,10
Stripes filters,5
Stripes filters,0
Stripes filters,5
Stripes filters,0
Separate-links filters,35
Separate-links filters,50
Separate-links filters,13
Separate-links filters,20
Separate-links filters,90
Separate-links filters,15
Separate-links filters,20
Separate-links filters,50
Separate-links filters,40
Separate-links filters,30
Separate-links filters,50
Separate-links filters,60
Separate-links filters,5
Separate-links filters,80
Separate-links filters,10
Separate-links filters,20
Separate-links filters,25
Separate-links filters,25
Separate-links filters,10
Separate-links filters,23
Separate-links filters,20
Shape filters,10
Shape filters,10
Shape filters,0
Shape filters,20
Shape filters,5
Shape filters,40
Shape filters,20
Shape filters,10
Shape filters,30
Shape filters,40
Shape filters,15
Shape filters,10
Shape filters,70
Shape filters,0
Shape filters,5
Shape filters,5
Shape filters,15
Shape filters,0
Shape filters,40
Shape filters,15
Shape filters,20
